s	width	allele counts	se_f	f	n	f_per_kb
-0.1	12.24744871391589	28.074111403783828	0.03726133931311927	0.046533333333333336	25	4.6533333333333337e-7
-0.1	12.24744871391589	34.362293368603815	0.017824350843528566	0.012114285714285715	25	1.2114285714285713e-7
-0.1	12.24744871391589	42.058934246120046	0.010814968408029061	0.00405	25	4.05e-8
-0.1	12.24744871391589	51.479507812354285	0.007980601481091512	0.0017600000000000005	25	1.7600000000000005e-8
-0.1	12.24744871391589	63.0101492608963	1.5384615384615385e-4	3.076923076923077e-5	25	3.076923076923077e-10
-0.1	12.24744871391589	77.12348230585881	0	0	25	0
-0.1	12.24744871391589	94.39799131968466	0	0	25	0
-0.1	12.24744871391589	115.54173254070393	0	0	25	0
-0.1	12.24744871391589	141.4213562373095	0	0	25	0
-0.1	12.24744871391589	173.0976294037676	0	0	25	0
-0.1	12.24744871391589	211.86891500973533	0	0	25	0
-0.1	12.24744871391589	259.3243899527689	0	0	25	0
-0.1	12.24744871391589	317.409183037944	0	0	25	0
-0.1	12.24744871391589	388.50410289276914	0	0	25	0
-0.1	12.24744871391589	475.5232237451433	0	0	25	0
-0.1	12.24744871391589	582.0333289591675	0	0	25	0
-0.1	12.24744871391589	712.4001081403561	0	0	25	0
-0.1	12.24744871391589	871.9671002105022	0	0	25	0
-0.1	12.24744871391589	1067.2747170607029	0	0	25	0
-0.1	12.24744871391589	1306.3283252338515	0	0	25	0
-0.1	12.24744871391589	1598.9263739030541	0	0	25	0
-0.1	12.24744871391589	1957.062018620097	0	0	25	0
-0.1	12.24744871391589	2395.4147027895547	0	0	25	0
-0.1	12.24744871391589	2931.9518460565623	0	0	25	0
-0.1	12.24744871391589	3588.6653019135715	0	0	25	0
-0.1	12.24744871391589	4392.472770819839	0	0	25	0
-0.1	12.24744871391589	5376.321116406638	0	0	25	0
-0.1	12.24744871391589	6580.536808046029	0	0	25	0
-0.1	12.24744871391589	8054.478842400569	0	0	25	0
-0.1	12.24744871391589	9858.561894731161	0	0	25	0
-0.1	12.24744871391589	12066.732625903607	0	0	25	0
-0.1	12.24744871391589	14769.500645207127	0	0	25	0
-0.1	12.24744871391589	18077.64836360904	0	0	25	0
-0.1	13.47219358530748	1	0	0	25	0
-0.1	13.47219358530748	1.106338589938541	6.178464399293189	114.8384	25	0.001148384
