s	width	allele counts	se_f	f	n	f_per_kb
-0.1	11.022703842524301	3588.6653019135715	0.004504002782936749	0.023866850068775796	25	2.38668500687758e-7
-0.1	11.022703842524301	4392.472770819839	0.0035129083287139475	0.018689313835770528	25	1.868931383577053e-7
-0.1	11.022703842524301	5376.321116406638	0.002930498095451252	0.013263544536271809	25	1.3263544536271809e-7
-0.1	11.022703842524301	6580.536808046029	0.0023416624773721574	0.011478978978978977	25	1.1478978978978977e-7
-0.1	11.022703842524301	8054.478842400569	0.002708031865857203	0.009987239263803679	25	9.98723926380368e-8
-0.1	11.022703842524301	9858.561894731161	0.0016748791228296828	0.007507014028056111	25	7.50701402805611e-8
-0.1	11.022703842524301	12066.732625903607	0.0015314057754448357	0.0060641833810888175	25	6.064183381088818e-8
-0.1	11.022703842524301	14769.500645207127	0.0011401314067144936	0.004545770645269142	25	4.545770645269142e-8
-0.1	11.022703842524301	18077.64836360904	0.0011733585058473176	0.004753333333333334	25	4.753333333333334e-8
-0.1	12.24744871391589	1	0	0	25	0
-0.1	12.24744871391589	1.106338589938541	10.734729417487278	474.6564	25	0.004746564
-0.1	12.24744871391589	1.3541419226309606	0	0	25	0
-0.1	12.24744871391589	1.6574495035272516	0	0	25	0
-0.1	12.24744871391589	2.0286934558567684	7.537955580482908	356.4108	25	0.0035641080000000003
-0.1	12.24744871391589	2.4830905129101035	0	0	25	0
-0.1	12.24744871391589	3.0392657291341303	4.280109149698558	202.2948	25	0.002022948
-0.1	12.24744871391589	3.720015893203823	4.282953342418448	162.9232	25	0.001629232
-0.1	12.24744871391589	4.5532439342286635	3.2585503934520736	117.4956	25	0.001174956
-0.1	12.24744871391589	5.573102621003827	3.5637437244186523	100.1412	25	0.001001412
-0.1	12.24744871391589	6.821394432824586	2.972476969352889	80.6688	25	8.066880000000001e-4
-0.1	12.24744871391589	8.349284980470902	2.4060505674929886	65.8428	25	6.58428e-4
-0.1	12.24744871391589	10.21940020792074	2.1436026334187956	51.6848	25	5.16848e-4
-0.1	12.24744871391589	12.508393335947712	1.673801187915299	42.503	25	4.2503e-4
-0.1	12.24744871391589	15.310086762774377	1.4995682341557184	34.947466666666664	25	3.4947466666666665e-4
-0.1	12.24744871391589	18.739317703580973	1.4598908349599296	28.017500000000002	25	2.80175e-4
-0.1	12.24744871391589	22.936645195870106	1.2889316868373317	22.25368	25	2.225368e-4
-0.1	12.24744871391589	28.074111403783828	0.9565667291973974	17.701666666666668	25	1.770166666666667e-4
-0.1	12.24744871391589	34.362293368603815	0.7851946333520743	14.193428571428571	25	1.419342857142857e-4
-0.1	12.24744871391589	42.058934246120046	0.7725157529407842	11.45615	25	1.1456149999999998e-4
-0.1	12.24744871391589	51.479507812354285	0.748407148549505	9.29052	25	9.29052e-5
-0.1	12.24744871391589	63.0101492608963	0.543583211741114	7.473753846153846	25	7.473753846153846e-5
-0.1	12.24744871391589	77.12348230585881	0.42910269598071354	5.99365	25	5.9936500000000005e-5
-0.1	12.24744871391589	94.39799131968466	0.3558027260585981	4.719852631578948	25	4.719852631578948e-5
-0.1	12.24744871391589	115.54173254070393	0.3412197809013819	3.6899130434782608	25	3.689913043478261e-5
-0.1	12.24744871391589	141.4213562373095	0.26578704533534686	2.8227034482758624	25	2.822703448275862e-5
-0.1	12.24744871391589	173.0976294037676	0.20224731744813323	2.2694742857142858	25	2.2694742857142858e-5
-0.1	12.24744871391589	211.86891500973533	0.12681309910905395	1.7204186046511631	25	1.720418604651163e-5
-0.1	12.24744871391589	259.3243899527689	0.10318987783486301	1.3018461538461539	25	1.3018461538461539e-5
-0.1	12.24744871391589	317.409183037944	0.08605469706863215	1.049249230769231	25	1.0492492307692309e-5
-0.1	12.24744871391589	388.50410289276914	0.08390206550817053	0.801928205128205	25	8.01928205128205e-6
-0.1	12.24744871391589	475.5232237451433	0.06709694030087927	0.5832	25	5.832e-6
-0.1	12.24744871391589	582.0333289591675	0.0506769471213253	0.42481025641025605	25	4.248102564102561e-6
-0.1	12.24744871391589	712.4001081403561	0.040583477285919274	0.3099034482758621	25	3.0990344827586207e-6
-0.1	12.24744871391589	871.9671002105022	0.03551368356058439	0.23079318181818181	25	2.307931818181818e-6
-0.1	12.24744871391589	1067.2747170607029	0.025782482503343328	0.175037037037037	25	1.75037037037037e-6
-0.1	12.24744871391589	1306.3283252338515	0.020223739849363157	0.11998339622641516	25	1.1998339622641516e-6
-0.1	12.24744871391589	1598.9263739030541	0.016352481150204302	0.08785510835913315	25	8.785510835913315e-7
-0.1	12.24744871391589	1957.062018620097	0.00961016457351624	0.057960705289672544	25	5.796070528967254e-7
-0.1	12.24744871391589	2395.4147027895547	0.008369099595355851	0.040347216494845295	25	4.0347216494845293e-7
-0.1	12.24744871391589	2931.9518460565623	0.005648165729525257	0.033492748735244514	25	3.349274873524451e-7
-0.1	12.24744871391589	3588.6653019135715	0.00610016106611198	0.02321705639614856	25	2.3217056396148563e-7
-0.1	12.24744871391589	4392.472770819839	0.0032521348356881956	0.01810033745781777	25	1.810033745781777e-7
-0.1	12.24744871391589	5376.321116406638	0.0030923731351124584	0.013322314049586774	25	1.3322314049586776e-7
-0.1	12.24744871391589	6580.536808046029	0.002678758563988335	0.011696696696696696	25	1.1696696696696695e-7
-0.1	12.24744871391589	8054.478842400569	0.0029197948003479367	0.009712883435582818	25	9.712883435582818e-8
-0.1	12.24744871391589	9858.561894731161	0.0015762897052411155	0.007525050100200398	25	7.525050100200397e-8
-0.1	12.24744871391589	12066.732625903607	0.001591809672094741	0.006082848956201384	25	6.082848956201385e-8
-0.1	12.24744871391589	14769.500645207127	0.0011189767047154605	0.004565162153126045	25	4.5651621531260447e-8
-0.1	12.24744871391589	18077.64836360904	0.0011019342020000726	0.004666338797814208	25	4.6663387978142074e-8
-0.1	13.47219358530748	1	0	0	25	0
-0.1	13.47219358530748	1.106338589938541	11.760709544921175	520.3716000000001	25	0.005203716000000001
-0.1	13.47219358530748	1.3541419226309606	0	0	25	0
-0.1	13.47219358530748	1.6574495035272516	0	0	25	0
-0.1	13.47219358530748	2.0286934558567684	8.179550211757773	385.574	25	0.0038557400000000003
-0.1	13.47219358530748	2.4830905129101035	0	0	25	0
-0.1	13.47219358530748	3.0392657291341303	4.808636327830722	219.558	25	0.00219558
-0.1	13.47219358530748	3.720015893203823	3.8577213913569945	176.9068	25	0.0017690680000000002
-0.1	13.47219358530748	4.5532439342286635	3.349101869656002	127.366	25	0.00127366
-0.1	13.47219358530748	5.573102621003827	3.6048008729100887	108.8932	25	0.001088932
-0.1	13.47219358530748	6.821394432824586	3.2654699508646536	88.3376	25	8.83376e-4
-0.1	13.47219358530748	8.349284980470902	2.581284596216904	72.3452	25	7.234520000000001e-4
-0.1	13.47219358530748	10.21940020792074	2.126114256885865	56.9808	25	5.69808e-4
-0.1	13.47219358530748	12.508393335947712	1.80926635684191	46.9402	25	4.6940199999999995e-4
-0.1	13.47219358530748	15.310086762774377	1.366303095271377	38.50213333333333	25	3.850213333333333e-4
-0.1	13.47219358530748	18.739317703580973	1.352485767023077	30.5164	25	3.05164e-4
-0.1	13.47219358530748	22.936645195870106	1.2473970071045288	24.23328	25	2.4233280000000003e-4
-0.1	13.47219358530748	28.074111403783828	1.1645719369348972	19.2076	25	1.92076e-4
-0.1	13.47219358530748	34.362293368603815	0.8836828585854895	15.562971428571426	25	1.5562971428571427e-4
-0.1	13.47219358530748	42.058934246120046	0.6233879919774415	12.6323	25	1.2632300000000002e-4
-0.1	13.47219358530748	51.479507812354285	0.6598578685343284	10.21336	25	1.021336e-4
-0.1	13.47219358530748	63.0101492608963	0.5549697594689724	8.152492307692308	25	8.152492307692309e-5
-0.1	13.47219358530748	77.12348230585881	0.4763292297941099	6.47455	25	6.47455e-5
